control,count,first_appearance,last_appearance
"(-0.3, -0.7, 0, 0.7)",31,1,1506
"(-0.3, 0.1, 0, 0.7)",9647,1,1601
"(0.3, 0.1, 0, 0.7)",9380,1,1601
"(0.3, -0.7, 0, 0.7)",33,1,1515
"(1.0, 0.1, 0, 0.7)",42,116,1503
"(-1.0, 0.1, 0, 0.7)",21,157,1042
"(0.18, 0.1, 0, 0.7)",22,194,227
"(0.2, 0.1, -0.3, 0.7)",11,1238,1446
"(-0.1, 0.1, 0.3, 0.7)",8,1238,1446
"(-0.1, 0.1, -0.3, 0.7)",4,1238,1447
"(0.2, -0.1, -0.3, 0.7)",7,1238,1447
"(-0.1, -0.1, -0.3, 0.7)",1,1245,1245
"(0.2, -0.1, 0.3, 0.7)",4,1439,1447
"(0.2, 0.1, 0.3, 0.7)",1,1439,1439
"(0.3, 0.1, 0, 1.0)",24806,1602,13475
"(-0.3, 0.1, 0, 1.0)",22169,1602,13441
"(0.3, -0.7, 0, 1.0)",18394,1607,13467
"(-0.3, -0.7, 0, 1.0)",15883,1608,13475
"(1.0, 0.1, 0, 1.0)",2338,1670,13456
"(-1.0, 0.1, 0, 1.0)",2259,1671,13361
"(0.3, 0.5, 0, 1.0)",9094,1815,13475
"(-0.3, 0.5, 0, 1.0)",9035,1843,13384
"(0.18, 0.1, 0, 1.0)",1816,2237,13404
"(0.18, -0.7, 0, 1.0)",1765,2377,13417
"(-0.18, 0.1, 0, 1.0)",2325,2378,13475
"(-0.18, -0.7, 0, 1.0)",2045,2446,13372
"(-1.0, -0.7, 0, 1.0)",1505,2591,13303
"(-1.0, 0.0, 0, 1.0)",175,2656,9785
"(-1.0, -1.0, 0, 1.0)",99,2675,9793
"(1.0, -1.0, 0, 1.0)",88,2697,8965
"(1.0, 0.0, 0, 1.0)",112,2778,8956
"(1.0, -0.7, 0, 1.0)",1054,2964,13475
"(1.0, 0.0, 0, 0.0)",130,3026,10810
"(1.0, -1.0, 0, 0.0)",5,3033,10811
"(0.97, -1.0, 0, 0.0)",4,3034,10812
"(0.94, -1.0, 0, 0.0)",1,3035,3035
"(0.9, -1.0, 0, 0.0)",3,3036,9620
"(0.87, -1.0, 0, 0.0)",4,3037,10814
"(0.83, -1.0, 0, 0.0)",4,3038,9624
"(0.79, -1.0, 0, 0.0)",6,3039,6408
"(0.76, -1.0, 0, 0.0)",7,3040,10816
"(0.72, -1.0, 0, 0.0)",1,3041,3041
"(0.69, -1.0, 0, 0.0)",3,3042,6413
"(0.65, -1.0, 0, 0.0)",3,3043,6415
"(0.62, -1.0, 0, 0.0)",4,3044,9633
"(0.58, -1.0, 0, 0.0)",4,3045,9635
"(0.55, -1.0, 0, 0.0)",3,3046,4496
"(0.53, -1.0, 0, 0.0)",4,3047,6422
"(0.5, -1.0, 0, 0.0)",3,3048,9639
"(0.47, -1.0, 0, 0.0)",4,3049,8409
"(0.45, -1.0, 0, 0.0)",5,3050,9642
"(0.43, -1.0, 0, 0.0)",9,3051,10824
"(0.41, -1.0, 0, 0.0)",7,3052,9645
"(0.4, -1.0, 0, 0.0)",8,3053,10825
"(0.38, -1.0, 0, 0.0)",10,3054,10826
"(0.37, -1.0, 0, 0.0)",8,3055,9649
"(0.36, -1.0, 0, 0.0)",11,3056,9650
"(0.35, -1.0, 0, 0.0)",10,3057,9651
"(0.34, -1.0, 0, 0.0)",11,3058,9653
"(0.33, -1.0, 0, 0.0)",9,3059,9654
"(0.32, -1.0, 0, 0.0)",16,3060,9656
"(0.31, -1.0, 0, 0.0)",16,3062,9658
"(0.89, -1.0, 0, 0.0)",2,3063,9621
"(0.3, -1.0, 0, 0.0)",16,3063,9660
"(0.88, -1.0, 0, 0.0)",2,3064,9622
"(0.29, -1.0, 0, 0.0)",20,3064,9662
"(0.85, -1.0, 0, 0.0)",2,3066,6404
"(0.28, -1.0, 0, 0.0)",22,3066,9759
"(0.81, -1.0, 0, 0.0)",6,3068,10815
